image,text
./data/synthetic/synthetic_data_b/Flowers_Syn/0.jpeg,a photo of a ocean liner.
./data/synthetic/synthetic_data_b/Flowers_Syn/1.jpeg,a photo of a horse-drawn vehicle.
./data/synthetic/synthetic_data_b/Flowers_Syn/2.jpeg,a photo of a Chow Chow.
./data/synthetic/synthetic_data_b/Flowers_Syn/3.jpeg,a photo of a armadillo.
./data/synthetic/synthetic_data_b/Flowers_Syn/4.jpeg,a photo of a tiger shark.
./data/synthetic/synthetic_data_b/Flowers_Syn/5.jpeg,"a photo of a Ram C/V Cargo Van Minivan 2012, a type of car."
./data/synthetic/synthetic_data_b/Flowers_Syn/6.jpeg,a photo of a snorkel.
./data/synthetic/synthetic_data_b/Flowers_Syn/7.jpeg,"a photo of a Mercedes-Benz SL-Class Coupe 2009, a type of car."
./data/synthetic/synthetic_data_b/Flowers_Syn/8.jpeg,a photo of a Saharan horned viper.
./data/synthetic/synthetic_data_b/Flowers_Syn/9.jpeg,a photo of a baboon.
./data/synthetic/synthetic_data_b/Flowers_Syn/10.jpeg,"a photo of a filet mignon, a type of food."
./data/synthetic/synthetic_data_b/Flowers_Syn/11.jpeg,a photo of a microwave oven.
./data/synthetic/synthetic_data_b/Flowers_Syn/12.jpeg,"a photo of a huevos rancheros, a type of food."
./data/synthetic/synthetic_data_b/Flowers_Syn/13.jpeg,a photo of a poke bonnet.
./data/synthetic/synthetic_data_b/Flowers_Syn/14.jpeg,"a photo of a American Pit Bull Terrier, a type of pet."
./data/synthetic/synthetic_data_b/Flowers_Syn/15.jpeg,"a photo of a Mazda Tribute SUV 2011, a type of car."
./data/synthetic/synthetic_data_b/Flowers_Syn/16.jpeg,a photo of a Irish Setter.
./data/synthetic/synthetic_data_b/Flowers_Syn/17.jpeg,"a photo of a Audi 100 Sedan 1994, a type of car."
./data/synthetic/synthetic_data_b/Flowers_Syn/18.jpeg,a photo of a leopard.
./data/synthetic/synthetic_data_b/Flowers_Syn/19.jpeg,a photo of a neck brace.
./data/synthetic/synthetic_data_b/Flowers_Syn/20.jpeg,a photo of a Rhodesian Ridgeback.
./data/synthetic/synthetic_data_b/Flowers_Syn/21.jpeg,a photo of a mobile phone.
./data/synthetic/synthetic_data_b/Flowers_Syn/22.jpeg,a photo of a pencil sharpener.
./data/synthetic/synthetic_data_b/Flowers_Syn/23.jpeg,a photo of a minibus.
./data/synthetic/synthetic_data_b/Flowers_Syn/24.jpeg,a photo of a warthog.
./data/synthetic/synthetic_data_b/Flowers_Syn/25.jpeg,"a photo of the number: ""5 - five""."
./data/synthetic/synthetic_data_b/Flowers_Syn/26.jpeg,a photo of a Bedlington Terrier.
./data/synthetic/synthetic_data_b/Flowers_Syn/27.jpeg,"a photo of a American Bulldog, a type of pet."
./data/synthetic/synthetic_data_b/Flowers_Syn/28.jpeg,a photo of a pipe organ.
./data/synthetic/synthetic_data_b/Flowers_Syn/29.jpeg,a photo of a sailboat.
./data/synthetic/synthetic_data_b/Flowers_Syn/30.jpeg,a photo of a vulture.
./data/synthetic/synthetic_data_b/Flowers_Syn/31.jpeg,a photo of a dumbbell.
./data/synthetic/synthetic_data_b/Flowers_Syn/32.jpeg,a photo of a baseball.
./data/synthetic/synthetic_data_b/Flowers_Syn/33.jpeg,a photo of a convertible.
./data/synthetic/synthetic_data_b/Flowers_Syn/34.jpeg,a photo of a bustard.
./data/synthetic/synthetic_data_b/Flowers_Syn/35.jpeg,a photo of a pickup truck.
