image,text
./data/synthetic/synthetic_data_b/Aircraft_Syn/0.jpeg,a photo of a cucumber.
./data/synthetic/synthetic_data_b/Aircraft_Syn/1.jpeg,a photo of a bow window/outdoor.
./data/synthetic/synthetic_data_b/Aircraft_Syn/2.jpeg,a photo of a dining car.
./data/synthetic/synthetic_data_b/Aircraft_Syn/3.jpeg,a photo of a Cairn Terrier.
./data/synthetic/synthetic_data_b/Aircraft_Syn/4.jpeg,"a photo of a Chevrolet TrailBlazer SS 2009, a type of car."
./data/synthetic/synthetic_data_b/Aircraft_Syn/5.jpeg,"a photo of a giant white arum lily, a type of flower."
./data/synthetic/synthetic_data_b/Aircraft_Syn/6.jpeg,a photo of a barometer.
./data/synthetic/synthetic_data_b/Aircraft_Syn/7.jpeg,a photo of a tea cup.
./data/synthetic/synthetic_data_b/Aircraft_Syn/8.jpeg,a photo of a balaclava ski mask.
./data/synthetic/synthetic_data_b/Aircraft_Syn/9.jpeg,"a photo of a wild pansy, a type of flower."
./data/synthetic/synthetic_data_b/Aircraft_Syn/10.jpeg,a photo of a one-piece bathing suit.
./data/synthetic/synthetic_data_b/Aircraft_Syn/11.jpeg,a photo of a ford model t.
./data/synthetic/synthetic_data_b/Aircraft_Syn/12.jpeg,a photo of a small white butterfly.
./data/synthetic/synthetic_data_b/Aircraft_Syn/13.jpeg,"a photo of a spring rolls, a type of food."
./data/synthetic/synthetic_data_b/Aircraft_Syn/14.jpeg,a photo of a bazaar/outdoor.
./data/synthetic/synthetic_data_b/Aircraft_Syn/15.jpeg,a photo of a partridge.
./data/synthetic/synthetic_data_b/Aircraft_Syn/16.jpeg,a photo of a car interior/frontseat.
./data/synthetic/synthetic_data_b/Aircraft_Syn/17.jpeg,"a photo of a Honda Odyssey Minivan 2012, a type of car."
./data/synthetic/synthetic_data_b/Aircraft_Syn/18.jpeg,"a photo of a Chevrolet Malibu Hybrid Sedan 2010, a type of car."
./data/synthetic/synthetic_data_b/Aircraft_Syn/19.jpeg,a photo of a Siberian Husky.
./data/synthetic/synthetic_data_b/Aircraft_Syn/20.jpeg,a photo of a crash helmet.
./data/synthetic/synthetic_data_b/Aircraft_Syn/21.jpeg,a photo of a daisy.
./data/synthetic/synthetic_data_b/Aircraft_Syn/22.jpeg,"a photo of a Abyssinian, a type of pet."
./data/synthetic/synthetic_data_b/Aircraft_Syn/23.jpeg,a photo of a jigsaw puzzle.
./data/synthetic/synthetic_data_b/Aircraft_Syn/24.jpeg,a photo of a altar.
./data/synthetic/synthetic_data_b/Aircraft_Syn/25.jpeg,a photo of a plant pot.
./data/synthetic/synthetic_data_b/Aircraft_Syn/26.jpeg,a photo of a veranda.
./data/synthetic/synthetic_data_b/Aircraft_Syn/27.jpeg,a photo of a wombat.
./data/synthetic/synthetic_data_b/Aircraft_Syn/28.jpeg,a photo of a ski lodge.
./data/synthetic/synthetic_data_b/Aircraft_Syn/29.jpeg,"a photo of a pincushion flower, a type of flower."
./data/synthetic/synthetic_data_b/Aircraft_Syn/30.jpeg,a photo of a ring binder.
./data/synthetic/synthetic_data_b/Aircraft_Syn/31.jpeg,a photo of a collie.
./data/synthetic/synthetic_data_b/Aircraft_Syn/32.jpeg,a photo of a castle.
./data/synthetic/synthetic_data_b/Aircraft_Syn/33.jpeg,"a photo of a waffles, a type of food."
./data/synthetic/synthetic_data_b/Aircraft_Syn/34.jpeg,a photo of a violin.
./data/synthetic/synthetic_data_b/Aircraft_Syn/35.jpeg,a photo of a monitor.
./data/synthetic/synthetic_data_b/Aircraft_Syn/36.jpeg,a photo of a American bullfrog.
./data/synthetic/synthetic_data_b/Aircraft_Syn/37.jpeg,a photo of a wild boar.
./data/synthetic/synthetic_data_b/Aircraft_Syn/38.jpeg,a photo of a harbor.
./data/synthetic/synthetic_data_b/Aircraft_Syn/39.jpeg,a photo of a freight car.
./data/synthetic/synthetic_data_b/Aircraft_Syn/40.jpeg,"a photo of a baby back ribs, a type of food."
./data/synthetic/synthetic_data_b/Aircraft_Syn/41.jpeg,a photo of a French Bulldog.
./data/synthetic/synthetic_data_b/Aircraft_Syn/42.jpeg,a photo of a keyboard space bar.
./data/synthetic/synthetic_data_b/Aircraft_Syn/43.jpeg,a photo of a gazebo/exterior.
./data/synthetic/synthetic_data_b/Aircraft_Syn/44.jpeg,a photo of a church.
./data/synthetic/synthetic_data_b/Aircraft_Syn/45.jpeg,a photo of a magpie.
./data/synthetic/synthetic_data_b/Aircraft_Syn/46.jpeg,a photo of a partridge.
./data/synthetic/synthetic_data_b/Aircraft_Syn/47.jpeg,"a photo of a Volkswagen Golf Hatchback 1991, a type of car."
./data/synthetic/synthetic_data_b/Aircraft_Syn/48.jpeg,a photo of a food court.
./data/synthetic/synthetic_data_b/Aircraft_Syn/49.jpeg,"a photo of a gazania, a type of flower."
./data/synthetic/synthetic_data_b/Aircraft_Syn/50.jpeg,a photo of a coral reef.
./data/synthetic/synthetic_data_b/Aircraft_Syn/51.jpeg,"a photo of a osteospermum, a type of flower."
./data/synthetic/synthetic_data_b/Aircraft_Syn/52.jpeg,"a photo of a club sandwich, a type of food."
./data/synthetic/synthetic_data_b/Aircraft_Syn/53.jpeg,a photo of a leafhopper.
./data/synthetic/synthetic_data_b/Aircraft_Syn/54.jpeg,a photo of a refrigerator.
./data/synthetic/synthetic_data_b/Aircraft_Syn/55.jpeg,a photo of a dining car.
./data/synthetic/synthetic_data_b/Aircraft_Syn/56.jpeg,a photo of a Kerry Blue Terrier.
./data/synthetic/synthetic_data_b/Aircraft_Syn/57.jpeg,a photo of a candy store.
./data/synthetic/synthetic_data_b/Aircraft_Syn/58.jpeg,a photo of a ringlet butterfly.
./data/synthetic/synthetic_data_b/Aircraft_Syn/59.jpeg,"a photo of a Audi S4 Sedan 2007, a type of car."
./data/synthetic/synthetic_data_b/Aircraft_Syn/60.jpeg,a photo of a Yorkshire Terrier.
./data/synthetic/synthetic_data_b/Aircraft_Syn/61.jpeg,"a photo of a cautleya spicata, a type of flower."
./data/synthetic/synthetic_data_b/Aircraft_Syn/62.jpeg,"a photo of a pad thai, a type of food."
./data/synthetic/synthetic_data_b/Aircraft_Syn/63.jpeg,a photo of a paddle.
./data/synthetic/synthetic_data_b/Aircraft_Syn/64.jpeg,a photo of a control room.
./data/synthetic/synthetic_data_b/Aircraft_Syn/65.jpeg,"a photo of a risotto, a type of food."
./data/synthetic/synthetic_data_b/Aircraft_Syn/66.jpeg,a photo of a American lobster.
./data/synthetic/synthetic_data_b/Aircraft_Syn/67.jpeg,a photo of a American lobster.
./data/synthetic/synthetic_data_b/Aircraft_Syn/68.jpeg,a photo of a plastic bag.
./data/synthetic/synthetic_data_b/Aircraft_Syn/69.jpeg,"a photo of a English Setter, a type of pet."
./data/synthetic/synthetic_data_b/Aircraft_Syn/70.jpeg,a photo of a praying mantis.
./data/synthetic/synthetic_data_b/Aircraft_Syn/71.jpeg,"a photo of a ball moss, a type of flower."
./data/synthetic/synthetic_data_b/Aircraft_Syn/72.jpeg,"a photo of a FIAT 500 Abarth 2012, a type of car."
./data/synthetic/synthetic_data_b/Aircraft_Syn/73.jpeg,a photo of a golf course.
./data/synthetic/synthetic_data_b/Aircraft_Syn/74.jpeg,a photo of a Cocker Spaniel.
./data/synthetic/synthetic_data_b/Aircraft_Syn/75.jpeg,a photo of a Great Pyrenees dog.
./data/synthetic/synthetic_data_b/Aircraft_Syn/76.jpeg,a photo of a toilet paper.
./data/synthetic/synthetic_data_b/Aircraft_Syn/77.jpeg,a photo of a carousel.
./data/synthetic/synthetic_data_b/Aircraft_Syn/78.jpeg,a photo of a medicine cabinet.
./data/synthetic/synthetic_data_b/Aircraft_Syn/79.jpeg,"a photo of a Jaguar XK XKR 2012, a type of car."
./data/synthetic/synthetic_data_b/Aircraft_Syn/80.jpeg,a photo of a garbage dump.
./data/synthetic/synthetic_data_b/Aircraft_Syn/81.jpeg,"a photo of a English Setter, a type of pet."
./data/synthetic/synthetic_data_b/Aircraft_Syn/82.jpeg,a photo of a cockpit.
./data/synthetic/synthetic_data_b/Aircraft_Syn/83.jpeg,a photo of a perfume.
./data/synthetic/synthetic_data_b/Aircraft_Syn/84.jpeg,a photo of a inn/outdoor.
./data/synthetic/synthetic_data_b/Aircraft_Syn/85.jpeg,a photo of a waiting room.
./data/synthetic/synthetic_data_b/Aircraft_Syn/86.jpeg,a photo of a water bottle.
./data/synthetic/synthetic_data_b/Aircraft_Syn/87.jpeg,a photo of a bookstore.
./data/synthetic/synthetic_data_b/Aircraft_Syn/88.jpeg,a photo of a gar fish.
./data/synthetic/synthetic_data_b/Aircraft_Syn/89.jpeg,a photo of a frilled-necked lizard.
./data/synthetic/synthetic_data_b/Aircraft_Syn/90.jpeg,"a photo of a bearded iris, a type of flower."
./data/synthetic/synthetic_data_b/Aircraft_Syn/91.jpeg,a photo of a salt shaker.
./data/synthetic/synthetic_data_b/Aircraft_Syn/92.jpeg,a photo of a pole.
./data/synthetic/synthetic_data_b/Aircraft_Syn/93.jpeg,a photo of a baseball field.
./data/synthetic/synthetic_data_b/Aircraft_Syn/94.jpeg,a photo of a African wild dog.
./data/synthetic/synthetic_data_b/Aircraft_Syn/95.jpeg,a photo of a cornet.
./data/synthetic/synthetic_data_b/Aircraft_Syn/96.jpeg,a photo of a wrestling ring/indoor.
./data/synthetic/synthetic_data_b/Aircraft_Syn/97.jpeg,a photo of a black grouse.
./data/synthetic/synthetic_data_b/Aircraft_Syn/98.jpeg,a photo of a gyromitra.
./data/synthetic/synthetic_data_b/Aircraft_Syn/99.jpeg,a photo of a airplane cabin.
./data/synthetic/synthetic_data_b/Aircraft_Syn/100.jpeg,a photo of a sink.
./data/synthetic/synthetic_data_b/Aircraft_Syn/101.jpeg,"a photo of a Jeep Patriot SUV 2012, a type of car."
./data/synthetic/synthetic_data_b/Aircraft_Syn/102.jpeg,a photo of a horse-drawn vehicle.
./data/synthetic/synthetic_data_b/Aircraft_Syn/103.jpeg,"a photo of a Ford GT Coupe 2006, a type of car."
./data/synthetic/synthetic_data_b/Aircraft_Syn/104.jpeg,"a photo of a columbine, a type of flower."
./data/synthetic/synthetic_data_b/Aircraft_Syn/105.jpeg,"a photo of a Acura TL Type-S 2008, a type of car."
./data/synthetic/synthetic_data_b/Aircraft_Syn/106.jpeg,a photo of a giant panda.
./data/synthetic/synthetic_data_b/Aircraft_Syn/107.jpeg,"a photo of a Mercedes-Benz 300-Class Convertible 1993, a type of car."
./data/synthetic/synthetic_data_b/Aircraft_Syn/108.jpeg,a photo of a common squirrel monkey.
./data/synthetic/synthetic_data_b/Aircraft_Syn/109.jpeg,"a photo of a Ford F-150 Regular Cab 2007, a type of car."
./data/synthetic/synthetic_data_b/Aircraft_Syn/110.jpeg,a photo of a Petri dish.
./data/synthetic/synthetic_data_b/Aircraft_Syn/111.jpeg,a photo of a modem.
./data/synthetic/synthetic_data_b/Aircraft_Syn/112.jpeg,a photo of a boat deck.
./data/synthetic/synthetic_data_b/Aircraft_Syn/113.jpeg,a photo of a carbonara.
./data/synthetic/synthetic_data_b/Aircraft_Syn/114.jpeg,a photo of a fountain pen.
./data/synthetic/synthetic_data_b/Aircraft_Syn/115.jpeg,a photo of a stable.
./data/synthetic/synthetic_data_b/Aircraft_Syn/116.jpeg,a photo of a office building.
./data/synthetic/synthetic_data_b/Aircraft_Syn/117.jpeg,"a photo of a deviled eggs, a type of food."
./data/synthetic/synthetic_data_b/Aircraft_Syn/118.jpeg,a photo of a shed.
./data/synthetic/synthetic_data_b/Aircraft_Syn/119.jpeg,"a photo of a Hyundai Accent Sedan 2012, a type of car."
./data/synthetic/synthetic_data_b/Aircraft_Syn/120.jpeg,a photo of a sea urchin.
./data/synthetic/synthetic_data_b/Aircraft_Syn/121.jpeg,a photo of a common redshank.
./data/synthetic/synthetic_data_b/Aircraft_Syn/122.jpeg,"a photo of a Dodge Sprinter Cargo Van 2009, a type of car."
./data/synthetic/synthetic_data_b/Aircraft_Syn/123.jpeg,a photo of a leafhopper.
./data/synthetic/synthetic_data_b/Aircraft_Syn/124.jpeg,a photo of a traffic light.
./data/synthetic/synthetic_data_b/Aircraft_Syn/125.jpeg,a photo of a iPod.
./data/synthetic/synthetic_data_b/Aircraft_Syn/126.jpeg,a photo of a manufactured home.
./data/synthetic/synthetic_data_b/Aircraft_Syn/127.jpeg,a photo of a doormat.
./data/synthetic/synthetic_data_b/Aircraft_Syn/128.jpeg,"a photo of a Ford Edge SUV 2012, a type of car."
./data/synthetic/synthetic_data_b/Aircraft_Syn/129.jpeg,a photo of a race car.
./data/synthetic/synthetic_data_b/Aircraft_Syn/130.jpeg,a photo of a popsicle.
./data/synthetic/synthetic_data_b/Aircraft_Syn/131.jpeg,a photo of a goldfish.
./data/synthetic/synthetic_data_b/Aircraft_Syn/132.jpeg,a photo of a elevator/interior.
./data/synthetic/synthetic_data_b/Aircraft_Syn/133.jpeg,"a photo of the number: ""9 - nine""."
./data/synthetic/synthetic_data_b/Aircraft_Syn/134.jpeg,"a photo of a BMW X3 SUV 2012, a type of car."
