image,text
./data/synthetic/synthetic_data_b/StanfordCars_Syn/0.jpeg,a photo of a minibus.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/1.jpeg,a photo of a slug.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/2.jpeg,a photo of a fire salamander.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/3.jpeg,a photo of a reflex camera.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/4.jpeg,a photo of a tabby cat.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/5.jpeg,a photo of a Siberian Husky.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/6.jpeg,a photo of a Komondor.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/7.jpeg,a photo of a dowitcher.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/8.jpeg,a photo of a radio.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/9.jpeg,a photo of a wallaby.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/10.jpeg,a photo of a product packet / packaging.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/11.jpeg,a photo of a fishing casting reel.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/12.jpeg,a photo of a shipwreck.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/13.jpeg,a photo of a flute.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/14.jpeg,a photo of a sulphur-crested cockatoo.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/15.jpeg,a photo of a hourglass.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/16.jpeg,a photo of a bassoon.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/17.jpeg,a photo of a tailed frog.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/18.jpeg,a photo of a American bullfrog.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/19.jpeg,a photo of a jacamar.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/20.jpeg,a photo of a Schipperke.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/21.jpeg,a photo of a Greater Swiss Mountain Dog.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/22.jpeg,a photo of a construction crane.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/23.jpeg,a photo of a knot.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/24.jpeg,a photo of a newt.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/25.jpeg,a photo of a golf ball.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/26.jpeg,a photo of a West Highland White Terrier.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/27.jpeg,a photo of a pole.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/28.jpeg,a photo of a moped.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/29.jpeg,a photo of a pier.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/30.jpeg,a photo of a flute.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/31.jpeg,a photo of a baseball.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/32.jpeg,a photo of a Malinois.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/33.jpeg,a photo of a bra.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/34.jpeg,a photo of a horse-drawn vehicle.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/35.jpeg,a photo of a Siamese cat.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/36.jpeg,a photo of a strainer.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/37.jpeg,a photo of a volleyball.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/38.jpeg,a photo of a stingray.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/39.jpeg,a photo of a scabbard.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/40.jpeg,a photo of a stone wall.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/41.jpeg,a photo of a Bloodhound.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/42.jpeg,a photo of a plectrum.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/43.jpeg,a photo of a bassoon.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/44.jpeg,a photo of a ram (adult male sheep).
./data/synthetic/synthetic_data_b/StanfordCars_Syn/45.jpeg,a photo of a Siamese cat.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/46.jpeg,a photo of a Rhodesian Ridgeback.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/47.jpeg,a photo of a Sussex Spaniel.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/48.jpeg,a photo of a volcano.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/49.jpeg,a photo of a scoreboard.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/50.jpeg,a photo of a hippopotamus.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/51.jpeg,a photo of a wallaby.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/52.jpeg,a photo of a hummingbird.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/53.jpeg,a photo of a snoek fish.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/54.jpeg,a photo of a goose.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/55.jpeg,a photo of a chimpanzee.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/56.jpeg,a photo of a semi-trailer truck.
./data/synthetic/synthetic_data_b/StanfordCars_Syn/57.jpeg,a photo of a impala (antelope).
