image,text
./data/synthetic/synthetic_data_b/Caltech101_Syn/0.jpeg,a photo of a honeycomb.
./data/synthetic/synthetic_data_b/Caltech101_Syn/1.jpeg,a photo of a pot pie.
./data/synthetic/synthetic_data_b/Caltech101_Syn/2.jpeg,a photo of a African wild dog.
./data/synthetic/synthetic_data_b/Caltech101_Syn/3.jpeg,a photo of a Alaskan Malamute.
./data/synthetic/synthetic_data_b/Caltech101_Syn/4.jpeg,"a photo of a toad lily, a type of flower."
./data/synthetic/synthetic_data_b/Caltech101_Syn/5.jpeg,a photo of a sea cliff.
./data/synthetic/synthetic_data_b/Caltech101_Syn/6.jpeg,a photo of a fountain.
./data/synthetic/synthetic_data_b/Caltech101_Syn/7.jpeg,a photo of a mousetrap.
./data/synthetic/synthetic_data_b/Caltech101_Syn/8.jpeg,"a photo of a Chrysler Crossfire Convertible 2008, a type of car."
./data/synthetic/synthetic_data_b/Caltech101_Syn/9.jpeg,a photo of a tank.
./data/synthetic/synthetic_data_b/Caltech101_Syn/10.jpeg,"a photo of a Chevrolet Silverado 1500 Regular Cab 2012, a type of car."
./data/synthetic/synthetic_data_b/Caltech101_Syn/11.jpeg,a photo of a baseball.
./data/synthetic/synthetic_data_b/Caltech101_Syn/12.jpeg,"a photo of a clematis, a type of flower."
./data/synthetic/synthetic_data_b/Caltech101_Syn/13.jpeg,a photo of a wheelbarrow.
./data/synthetic/synthetic_data_b/Caltech101_Syn/14.jpeg,"a photo of a hummus, a type of food."
./data/synthetic/synthetic_data_b/Caltech101_Syn/15.jpeg,a photo of a rock crab.
./data/synthetic/synthetic_data_b/Caltech101_Syn/16.jpeg,a photo of a Schipperke.
./data/synthetic/synthetic_data_b/Caltech101_Syn/17.jpeg,"a photo of a Nissan 240SX Coupe 1998, a type of car."
./data/synthetic/synthetic_data_b/Caltech101_Syn/18.jpeg,a photo of a bedroom.
./data/synthetic/synthetic_data_b/Caltech101_Syn/19.jpeg,"a photo of a spring rolls, a type of food."
./data/synthetic/synthetic_data_b/Caltech101_Syn/20.jpeg,"a photo of a Dodge Caliber Wagon 2007, a type of car."
./data/synthetic/synthetic_data_b/Caltech101_Syn/21.jpeg,a photo of a Staffordshire Bull Terrier.
./data/synthetic/synthetic_data_b/Caltech101_Syn/22.jpeg,a photo of a horse chestnut seed.
./data/synthetic/synthetic_data_b/Caltech101_Syn/23.jpeg,a photo of a barndoor.
./data/synthetic/synthetic_data_b/Caltech101_Syn/24.jpeg,"a photo of a spring crocus, a type of flower."
