image,text
./data/synthetic/synthetic_data_b/SUN397_Syn/0.jpeg,a photo of a American robin.
./data/synthetic/synthetic_data_b/SUN397_Syn/1.jpeg,"a photo of a scallops, a type of food."
./data/synthetic/synthetic_data_b/SUN397_Syn/2.jpeg,a photo of a crane bird.
./data/synthetic/synthetic_data_b/SUN397_Syn/3.jpeg,a photo of a bassinet.
./data/synthetic/synthetic_data_b/SUN397_Syn/4.jpeg,"a photo of a artichoke, a type of flower."
./data/synthetic/synthetic_data_b/SUN397_Syn/5.jpeg,"a photo of a steak, a type of food."
./data/synthetic/synthetic_data_b/SUN397_Syn/6.jpeg,a photo of a station wagon.
./data/synthetic/synthetic_data_b/SUN397_Syn/7.jpeg,"a photo of a pink-yellow dahlia, a type of flower."
./data/synthetic/synthetic_data_b/SUN397_Syn/8.jpeg,a photo of a tray.
./data/synthetic/synthetic_data_b/SUN397_Syn/9.jpeg,a photo of a English Setter.
./data/synthetic/synthetic_data_b/SUN397_Syn/10.jpeg,a photo of a baluster / handrail.
./data/synthetic/synthetic_data_b/SUN397_Syn/11.jpeg,"a photo of a Ferrari California Convertible 2012, a type of car."
./data/synthetic/synthetic_data_b/SUN397_Syn/12.jpeg,"a photo of a camellia, a type of flower."
./data/synthetic/synthetic_data_b/SUN397_Syn/13.jpeg,a photo of a waffle iron.
./data/synthetic/synthetic_data_b/SUN397_Syn/14.jpeg,"a photo of a Japanese Chin, a type of pet."
./data/synthetic/synthetic_data_b/SUN397_Syn/15.jpeg,a photo of a grey whale.
./data/synthetic/synthetic_data_b/SUN397_Syn/16.jpeg,"a photo of a japanese anemone, a type of flower."
./data/synthetic/synthetic_data_b/SUN397_Syn/17.jpeg,a photo of a cockroach.
./data/synthetic/synthetic_data_b/SUN397_Syn/18.jpeg,a photo of a Komodo dragon.
./data/synthetic/synthetic_data_b/SUN397_Syn/19.jpeg,a photo of a spaghetti squash.
./data/synthetic/synthetic_data_b/SUN397_Syn/20.jpeg,a photo of a necklace.
./data/synthetic/synthetic_data_b/SUN397_Syn/21.jpeg,a photo of a wolf spider.
./data/synthetic/synthetic_data_b/SUN397_Syn/22.jpeg,a photo of a Staffordshire Bull Terrier.
./data/synthetic/synthetic_data_b/SUN397_Syn/23.jpeg,a photo of a sea lion.
./data/synthetic/synthetic_data_b/SUN397_Syn/24.jpeg,a photo of a nematode.
./data/synthetic/synthetic_data_b/SUN397_Syn/25.jpeg,a photo of a three-toed sloth.
./data/synthetic/synthetic_data_b/SUN397_Syn/26.jpeg,a photo of a cowboy hat.
./data/synthetic/synthetic_data_b/SUN397_Syn/27.jpeg,"a photo of a Isuzu Ascender SUV 2008, a type of car."
./data/synthetic/synthetic_data_b/SUN397_Syn/28.jpeg,a photo of a pelican.
