image,text
./data/synthetic/synthetic_data_b/MNIST_Syn/0.jpeg,a photo of a Soft-coated Wheaten Terrier.
./data/synthetic/synthetic_data_b/MNIST_Syn/1.jpeg,a photo of a oil filter.
./data/synthetic/synthetic_data_b/MNIST_Syn/2.jpeg,a photo of a meerkat.
./data/synthetic/synthetic_data_b/MNIST_Syn/3.jpeg,a photo of a tabby cat.
./data/synthetic/synthetic_data_b/MNIST_Syn/4.jpeg,a photo of a tick.
./data/synthetic/synthetic_data_b/MNIST_Syn/5.jpeg,a photo of a hammer.
./data/synthetic/synthetic_data_b/MNIST_Syn/6.jpeg,a photo of a espresso.
./data/synthetic/synthetic_data_b/MNIST_Syn/7.jpeg,a photo of a Siamese cat.
./data/synthetic/synthetic_data_b/MNIST_Syn/8.jpeg,a photo of a chocolate syrup.
./data/synthetic/synthetic_data_b/MNIST_Syn/9.jpeg,a photo of a crossword.
./data/synthetic/synthetic_data_b/MNIST_Syn/10.jpeg,"a photo of a miso soup, a type of food."
./data/synthetic/synthetic_data_b/MNIST_Syn/11.jpeg,a photo of a brambling.
./data/synthetic/synthetic_data_b/MNIST_Syn/12.jpeg,a photo of a Beagle.
./data/synthetic/synthetic_data_b/MNIST_Syn/13.jpeg,a photo of a banded gecko.
./data/synthetic/synthetic_data_b/MNIST_Syn/14.jpeg,a photo of a cuirass.
./data/synthetic/synthetic_data_b/MNIST_Syn/15.jpeg,a photo of a beer glass.
./data/synthetic/synthetic_data_b/MNIST_Syn/16.jpeg,a photo of a rhinoceros beetle.
./data/synthetic/synthetic_data_b/MNIST_Syn/17.jpeg,"a photo of a HUMMER H3T Crew Cab 2010, a type of car."
./data/synthetic/synthetic_data_b/MNIST_Syn/18.jpeg,"a photo of a grilled salmon, a type of food."
./data/synthetic/synthetic_data_b/MNIST_Syn/19.jpeg,"a photo of a Chrysler PT Cruiser Convertible 2008, a type of car."
./data/synthetic/synthetic_data_b/MNIST_Syn/20.jpeg,a photo of a tractor.
./data/synthetic/synthetic_data_b/MNIST_Syn/21.jpeg,a photo of a Australian Kelpie.
./data/synthetic/synthetic_data_b/MNIST_Syn/22.jpeg,a photo of a hand-held computer.
./data/synthetic/synthetic_data_b/MNIST_Syn/23.jpeg,a photo of a cello.
./data/synthetic/synthetic_data_b/MNIST_Syn/24.jpeg,a photo of a knot.
./data/synthetic/synthetic_data_b/MNIST_Syn/25.jpeg,a photo of a Alaskan Malamute.
./data/synthetic/synthetic_data_b/MNIST_Syn/26.jpeg,a photo of a duck.
./data/synthetic/synthetic_data_b/MNIST_Syn/27.jpeg,a photo of a chain.
./data/synthetic/synthetic_data_b/MNIST_Syn/28.jpeg,a photo of a toaster.
./data/synthetic/synthetic_data_b/MNIST_Syn/29.jpeg,"a photo of a prime rib, a type of food."
./data/synthetic/synthetic_data_b/MNIST_Syn/30.jpeg,a photo of a cabbage.
./data/synthetic/synthetic_data_b/MNIST_Syn/31.jpeg,a photo of a black stork.
./data/synthetic/synthetic_data_b/MNIST_Syn/32.jpeg,a photo of a Australian Kelpie.
./data/synthetic/synthetic_data_b/MNIST_Syn/33.jpeg,"a photo of a Audi S4 Sedan 2007, a type of car."
./data/synthetic/synthetic_data_b/MNIST_Syn/34.jpeg,"a photo of a crab cakes, a type of food."
./data/synthetic/synthetic_data_b/MNIST_Syn/35.jpeg,"a photo of a Eagle Talon Hatchback 1998, a type of car."
./data/synthetic/synthetic_data_b/MNIST_Syn/36.jpeg,a photo of a loggerhead sea turtle.
./data/synthetic/synthetic_data_b/MNIST_Syn/37.jpeg,"a photo of a tiramisu, a type of food."
./data/synthetic/synthetic_data_b/MNIST_Syn/38.jpeg,"a photo of a Chevrolet Corvette ZR1 2012, a type of car."
./data/synthetic/synthetic_data_b/MNIST_Syn/39.jpeg,"a photo of a Scion xD Hatchback 2012, a type of car."
./data/synthetic/synthetic_data_b/MNIST_Syn/40.jpeg,a photo of a china cabinet.
./data/synthetic/synthetic_data_b/MNIST_Syn/41.jpeg,a photo of a brown bear.
./data/synthetic/synthetic_data_b/MNIST_Syn/42.jpeg,a photo of a hatchet.
./data/synthetic/synthetic_data_b/MNIST_Syn/43.jpeg,a photo of a umbrella.
./data/synthetic/synthetic_data_b/MNIST_Syn/44.jpeg,a photo of a tiger shark.
./data/synthetic/synthetic_data_b/MNIST_Syn/45.jpeg,"a photo of a macarons, a type of food."
./data/synthetic/synthetic_data_b/MNIST_Syn/46.jpeg,a photo of a ping-pong ball.
./data/synthetic/synthetic_data_b/MNIST_Syn/47.jpeg,a photo of a storage chest.
./data/synthetic/synthetic_data_b/MNIST_Syn/48.jpeg,"a photo of a Nissan NV Passenger Van 2012, a type of car."
./data/synthetic/synthetic_data_b/MNIST_Syn/49.jpeg,a photo of a thatched roof.
./data/synthetic/synthetic_data_b/MNIST_Syn/50.jpeg,a photo of a ring-tailed lemur.
./data/synthetic/synthetic_data_b/MNIST_Syn/51.jpeg,a photo of a Otterhound.
./data/synthetic/synthetic_data_b/MNIST_Syn/52.jpeg,"a photo of a Chevrolet Malibu Sedan 2007, a type of car."
./data/synthetic/synthetic_data_b/MNIST_Syn/53.jpeg,a photo of a plant pot.
./data/synthetic/synthetic_data_b/MNIST_Syn/54.jpeg,a photo of a bustard.
./data/synthetic/synthetic_data_b/MNIST_Syn/55.jpeg,"a photo of a Chrysler Town and Country Minivan 2012, a type of car."
./data/synthetic/synthetic_data_b/MNIST_Syn/56.jpeg,"a photo of a Ford Focus Sedan 2007, a type of car."
./data/synthetic/synthetic_data_b/MNIST_Syn/57.jpeg,"a photo of a Bentley Arnage Sedan 2009, a type of car."
./data/synthetic/synthetic_data_b/MNIST_Syn/58.jpeg,"a photo of a Bentley Arnage Sedan 2009, a type of car."
./data/synthetic/synthetic_data_b/MNIST_Syn/59.jpeg,"a photo of a Hyundai Elantra Sedan 2007, a type of car."
./data/synthetic/synthetic_data_b/MNIST_Syn/60.jpeg,a photo of a desert grassland whiptail lizard.
./data/synthetic/synthetic_data_b/MNIST_Syn/61.jpeg,a photo of a sliding door.
./data/synthetic/synthetic_data_b/MNIST_Syn/62.jpeg,a photo of a meatloaf.
./data/synthetic/synthetic_data_b/MNIST_Syn/63.jpeg,a photo of a sulphur-crested cockatoo.
./data/synthetic/synthetic_data_b/MNIST_Syn/64.jpeg,a photo of a shovel.
./data/synthetic/synthetic_data_b/MNIST_Syn/65.jpeg,a photo of a rifle.
./data/synthetic/synthetic_data_b/MNIST_Syn/66.jpeg,a photo of a crate.
./data/synthetic/synthetic_data_b/MNIST_Syn/67.jpeg,a photo of a loggerhead sea turtle.
./data/synthetic/synthetic_data_b/MNIST_Syn/68.jpeg,a photo of a plunger.
