image,text
./data/synthetic/synthetic_data_b/Food_Syn/0.jpeg,a photo of a oxygen mask.
./data/synthetic/synthetic_data_b/Food_Syn/1.jpeg,a photo of a saxophone.
./data/synthetic/synthetic_data_b/Food_Syn/2.jpeg,a photo of a garbage truck.
./data/synthetic/synthetic_data_b/Food_Syn/3.jpeg,a photo of a totem pole.
./data/synthetic/synthetic_data_b/Food_Syn/4.jpeg,a photo of a cradle.
./data/synthetic/synthetic_data_b/Food_Syn/5.jpeg,a photo of a English foxhound.
./data/synthetic/synthetic_data_b/Food_Syn/6.jpeg,a photo of a pizza.
./data/synthetic/synthetic_data_b/Food_Syn/7.jpeg,a photo of a green iguana.
./data/synthetic/synthetic_data_b/Food_Syn/8.jpeg,"a photo of a Fisker Karma Sedan 2012, a type of car."
./data/synthetic/synthetic_data_b/Food_Syn/9.jpeg,a photo of a wombat.
./data/synthetic/synthetic_data_b/Food_Syn/10.jpeg,a photo of a picket fence.
./data/synthetic/synthetic_data_b/Food_Syn/11.jpeg,a photo of a bra.
./data/synthetic/synthetic_data_b/Food_Syn/12.jpeg,a photo of a dunlin.
./data/synthetic/synthetic_data_b/Food_Syn/13.jpeg,a photo of a ruffed grouse.
./data/synthetic/synthetic_data_b/Food_Syn/14.jpeg,a photo of a Indian cobra.
./data/synthetic/synthetic_data_b/Food_Syn/15.jpeg,a photo of a spiral or coil.
./data/synthetic/synthetic_data_b/Food_Syn/16.jpeg,a photo of a amphibious vehicle.
./data/synthetic/synthetic_data_b/Food_Syn/17.jpeg,a photo of a desert grassland whiptail lizard.
./data/synthetic/synthetic_data_b/Food_Syn/18.jpeg,a photo of a cricket insect.
./data/synthetic/synthetic_data_b/Food_Syn/19.jpeg,a photo of a chain.
./data/synthetic/synthetic_data_b/Food_Syn/20.jpeg,a photo of a Samoyed.
./data/synthetic/synthetic_data_b/Food_Syn/21.jpeg,a photo of a eggnog.
./data/synthetic/synthetic_data_b/Food_Syn/22.jpeg,a photo of a Rottweiler.
./data/synthetic/synthetic_data_b/Food_Syn/23.jpeg,"a photo of a Lincoln Town Car Sedan 2011, a type of car."
./data/synthetic/synthetic_data_b/Food_Syn/24.jpeg,a photo of a ring binder.
./data/synthetic/synthetic_data_b/Food_Syn/25.jpeg,a photo of a fig.
./data/synthetic/synthetic_data_b/Food_Syn/26.jpeg,a photo of a cuirass.
./data/synthetic/synthetic_data_b/Food_Syn/27.jpeg,a photo of a radio telescope.
./data/synthetic/synthetic_data_b/Food_Syn/28.jpeg,a photo of a warthog.
./data/synthetic/synthetic_data_b/Food_Syn/29.jpeg,a photo of a Rottweiler.
./data/synthetic/synthetic_data_b/Food_Syn/30.jpeg,a photo of a fox squirrel.
./data/synthetic/synthetic_data_b/Food_Syn/31.jpeg,a photo of a mailbox.
./data/synthetic/synthetic_data_b/Food_Syn/32.jpeg,a photo of a Irish Water Spaniel.
./data/synthetic/synthetic_data_b/Food_Syn/33.jpeg,"a photo of a Toyota Sequoia SUV 2012, a type of car."
./data/synthetic/synthetic_data_b/Food_Syn/34.jpeg,a photo of a worm snake.
./data/synthetic/synthetic_data_b/Food_Syn/35.jpeg,a photo of a tights.
./data/synthetic/synthetic_data_b/Food_Syn/36.jpeg,"a photo of a Spyker C8 Coupe 2009, a type of car."
./data/synthetic/synthetic_data_b/Food_Syn/37.jpeg,a photo of a rugby ball.
./data/synthetic/synthetic_data_b/Food_Syn/38.jpeg,a photo of a space shuttle.
./data/synthetic/synthetic_data_b/Food_Syn/39.jpeg,a photo of a altar.
./data/synthetic/synthetic_data_b/Food_Syn/40.jpeg,a photo of a Shih Tzu.
./data/synthetic/synthetic_data_b/Food_Syn/41.jpeg,a photo of a church.
./data/synthetic/synthetic_data_b/Food_Syn/42.jpeg,a photo of a Labrador Retriever.
./data/synthetic/synthetic_data_b/Food_Syn/43.jpeg,a photo of a lab coat.
./data/synthetic/synthetic_data_b/Food_Syn/44.jpeg,a photo of a St. Bernard.
./data/synthetic/synthetic_data_b/Food_Syn/45.jpeg,"a photo of a McLaren MP4-12C Coupe 2012, a type of car."
./data/synthetic/synthetic_data_b/Food_Syn/46.jpeg,a photo of a peafowl.
./data/synthetic/synthetic_data_b/Food_Syn/47.jpeg,a photo of a perfume.
./data/synthetic/synthetic_data_b/Food_Syn/48.jpeg,"a photo of a Dodge Magnum Wagon 2008, a type of car."
./data/synthetic/synthetic_data_b/Food_Syn/49.jpeg,a photo of a turnstile.
./data/synthetic/synthetic_data_b/Food_Syn/50.jpeg,a photo of a fishing casting reel.
./data/synthetic/synthetic_data_b/Food_Syn/51.jpeg,a photo of a common redshank.
./data/synthetic/synthetic_data_b/Food_Syn/52.jpeg,"a photo of a BMW X3 SUV 2012, a type of car."
./data/synthetic/synthetic_data_b/Food_Syn/53.jpeg,a photo of a palace.
./data/synthetic/synthetic_data_b/Food_Syn/54.jpeg,a photo of a fire salamander.
./data/synthetic/synthetic_data_b/Food_Syn/55.jpeg,a photo of a tobacco shop.
./data/synthetic/synthetic_data_b/Food_Syn/56.jpeg,"a photo of a Acura TL Type-S 2008, a type of car."
./data/synthetic/synthetic_data_b/Food_Syn/57.jpeg,a photo of a Clumber Spaniel.
./data/synthetic/synthetic_data_b/Food_Syn/58.jpeg,a photo of a vestment.
./data/synthetic/synthetic_data_b/Food_Syn/59.jpeg,a photo of a prayer rug.
./data/synthetic/synthetic_data_b/Food_Syn/60.jpeg,a photo of a acorn squash.
./data/synthetic/synthetic_data_b/Food_Syn/61.jpeg,a photo of a stick insect.
./data/synthetic/synthetic_data_b/Food_Syn/62.jpeg,a photo of a waffle iron.
./data/synthetic/synthetic_data_b/Food_Syn/63.jpeg,a photo of a otter.
./data/synthetic/synthetic_data_b/Food_Syn/64.jpeg,"a photo of a Chevrolet Silverado 2500HD Regular Cab 2012, a type of car."
./data/synthetic/synthetic_data_b/Food_Syn/65.jpeg,a photo of a filing cabinet.
./data/synthetic/synthetic_data_b/Food_Syn/66.jpeg,"a photo of a Ferrari 458 Italia Convertible 2012, a type of car."
./data/synthetic/synthetic_data_b/Food_Syn/67.jpeg,a photo of a horse chestnut seed.
./data/synthetic/synthetic_data_b/Food_Syn/68.jpeg,a photo of a fig.
./data/synthetic/synthetic_data_b/Food_Syn/69.jpeg,a photo of a wall clock.
./data/synthetic/synthetic_data_b/Food_Syn/70.jpeg,a photo of a envelope.
./data/synthetic/synthetic_data_b/Food_Syn/71.jpeg,a photo of a mobile home.
./data/synthetic/synthetic_data_b/Food_Syn/72.jpeg,a photo of a clogs.
./data/synthetic/synthetic_data_b/Food_Syn/73.jpeg,a photo of a Scottish Deerhound.
./data/synthetic/synthetic_data_b/Food_Syn/74.jpeg,a photo of a gas pump.
./data/synthetic/synthetic_data_b/Food_Syn/75.jpeg,a photo of a plate.
./data/synthetic/synthetic_data_b/Food_Syn/76.jpeg,a photo of a cleaver.
./data/synthetic/synthetic_data_b/Food_Syn/77.jpeg,a photo of a lemon.
