image,text
./data/synthetic/synthetic_data_b/OxfordPet_Syn/0.jpeg,a photo of a barbershop.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/1.jpeg,"a photo of a beignets, a type of food."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/2.jpeg,a photo of a American black bear.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/3.jpeg,a photo of a spider web.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/4.jpeg,a photo of a Papillon.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/5.jpeg,a photo of a rickshaw.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/6.jpeg,a photo of a Angora rabbit.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/7.jpeg,"a photo of a Land Rover LR2 SUV 2012, a type of car."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/8.jpeg,a photo of a storage chest.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/9.jpeg,"a photo of a Mercedes-Benz 300-Class Convertible 1993, a type of car."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/10.jpeg,a photo of a balaclava ski mask.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/11.jpeg,"a photo of a Ford Freestar Minivan 2007, a type of car."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/12.jpeg,a photo of a necklace.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/13.jpeg,a photo of a sewing machine.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/14.jpeg,a photo of a cougar.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/15.jpeg,a photo of a Afghan Hound.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/16.jpeg,"a photo of a BMW ActiveHybrid 5 Sedan 2012, a type of car."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/17.jpeg,a photo of a pedestal.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/18.jpeg,a photo of a brain coral.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/19.jpeg,a photo of a Tibetan Terrier.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/20.jpeg,a photo of a military aircraft.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/21.jpeg,a photo of a car mirror.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/22.jpeg,a photo of a Shih Tzu.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/23.jpeg,a photo of a pajamas.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/24.jpeg,"a photo of a fried calamari, a type of food."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/25.jpeg,"a photo of a lobster roll sandwich, a type of food."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/26.jpeg,"a photo of a churros, a type of food."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/27.jpeg,a photo of a space shuttle.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/28.jpeg,a photo of a mosque.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/29.jpeg,a photo of a night snake.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/30.jpeg,"a photo of the number: ""1 - one""."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/31.jpeg,a photo of a folding chair.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/32.jpeg,a photo of a menu.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/33.jpeg,"a photo of a Acura TSX Sedan 2012, a type of car."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/34.jpeg,a photo of a butcher shop.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/35.jpeg,a photo of a plastic bag.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/36.jpeg,"a photo of a Hyundai Veracruz SUV 2012, a type of car."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/37.jpeg,a photo of a rugby ball.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/38.jpeg,a photo of a vaulted or arched ceiling.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/39.jpeg,a photo of a titi monkey.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/40.jpeg,"a photo of a beef carpaccio, a type of food."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/41.jpeg,a photo of a weighing scale.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/42.jpeg,a photo of a Otterhound.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/43.jpeg,"a photo of a pad thai, a type of food."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/44.jpeg,a photo of a hourglass.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/45.jpeg,a photo of a coffee mug.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/46.jpeg,a photo of a sea lion.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/47.jpeg,a photo of a Redbone Coonhound.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/48.jpeg,a photo of a entertainment center.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/49.jpeg,a photo of a praying mantis.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/50.jpeg,a photo of a weighing scale.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/51.jpeg,"a photo of the number: ""1 - one""."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/52.jpeg,a photo of a praying mantis.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/53.jpeg,a photo of a sleeping bag.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/54.jpeg,a photo of a medicine cabinet.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/55.jpeg,a photo of a plant pot.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/56.jpeg,a photo of a Welsh Springer Spaniel.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/57.jpeg,a photo of a Yorkshire Terrier.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/58.jpeg,a photo of a brambling.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/59.jpeg,a photo of a lotion.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/60.jpeg,a photo of a wooden spoon.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/61.jpeg,a photo of a soda bottle.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/62.jpeg,a photo of a feather boa.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/63.jpeg,a photo of a Chesapeake Bay Retriever.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/64.jpeg,a photo of a red wolf or maned wolf.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/65.jpeg,a photo of a Weimaraner.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/66.jpeg,a photo of a ring-tailed lemur.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/67.jpeg,a photo of a vacuum cleaner.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/68.jpeg,a photo of a traffic or street sign.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/69.jpeg,"a photo of a Infiniti G Coupe IPL 2012, a type of car."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/70.jpeg,"a photo of a Hyundai Genesis Sedan 2012, a type of car."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/71.jpeg,"a photo of a Buick Enclave SUV 2012, a type of car."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/72.jpeg,a photo of a sundial.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/73.jpeg,a photo of a Vizsla.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/74.jpeg,a photo of a ring-necked snake.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/75.jpeg,a photo of a Kerry Blue Terrier.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/76.jpeg,a photo of a pirate ship.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/77.jpeg,"a photo of a Hyundai Accent Sedan 2012, a type of car."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/78.jpeg,a photo of a Sealyham Terrier.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/79.jpeg,"a photo of a crab cakes, a type of food."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/80.jpeg,"a photo of a croque madame, a type of food."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/81.jpeg,a photo of a monitor.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/82.jpeg,a photo of a shoe store.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/83.jpeg,a photo of a fire salamander.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/84.jpeg,a photo of a holster.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/85.jpeg,a photo of a tank.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/86.jpeg,a photo of a shower curtain.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/87.jpeg,a photo of a Ibizan Hound.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/88.jpeg,"a photo of a Jeep Wrangler SUV 2012, a type of car."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/89.jpeg,a photo of a church.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/90.jpeg,"a photo of a Plymouth Neon Coupe 1999, a type of car."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/91.jpeg,"a photo of a Chevrolet TrailBlazer SS 2009, a type of car."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/92.jpeg,a photo of a bison.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/93.jpeg,a photo of a school bus.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/94.jpeg,a photo of a bison.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/95.jpeg,a photo of a Siamese cat.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/96.jpeg,a photo of a espresso machine.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/97.jpeg,a photo of a knot.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/98.jpeg,a photo of a envelope.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/99.jpeg,"a photo of a Aston Martin Virage Convertible 2012, a type of car."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/100.jpeg,a photo of a mongoose.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/101.jpeg,a photo of a spoonbill.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/102.jpeg,a photo of a wild boar.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/103.jpeg,a photo of a volleyball.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/104.jpeg,a photo of a freight car.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/105.jpeg,a photo of a torch.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/106.jpeg,a photo of a joystick.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/107.jpeg,a photo of a coral fungus.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/108.jpeg,a photo of a Papillon.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/109.jpeg,a photo of a potter's wheel.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/110.jpeg,a photo of a cowboy hat.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/111.jpeg,a photo of a coffeemaker.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/112.jpeg,"a photo of a risotto, a type of food."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/113.jpeg,"a photo of a Audi V8 Sedan 1994, a type of car."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/114.jpeg,"a photo of a chicken wings, a type of food."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/115.jpeg,"a photo of a nachos, a type of food."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/116.jpeg,a photo of a academic gown.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/117.jpeg,a photo of a broccoli.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/118.jpeg,a photo of a Cocker Spaniel.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/119.jpeg,a photo of a red fox.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/120.jpeg,a photo of a letter opener.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/121.jpeg,a photo of a junco.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/122.jpeg,a photo of a keyboard space bar.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/123.jpeg,a photo of a baby pacifier.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/124.jpeg,"a photo of a peking duck, a type of food."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/125.jpeg,a photo of a weighing scale.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/126.jpeg,a photo of a mousetrap.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/127.jpeg,a photo of a whiskey jug.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/128.jpeg,a photo of a odometer.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/129.jpeg,a photo of a upright piano.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/130.jpeg,"a photo of a chocolate cake, a type of food."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/131.jpeg,a photo of a kit fox.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/132.jpeg,a photo of a knee pad.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/133.jpeg,a photo of a minivan.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/134.jpeg,"a photo of a foie gras, a type of food."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/135.jpeg,a photo of a apron.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/136.jpeg,a photo of a baseball player.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/137.jpeg,a photo of a mask.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/138.jpeg,a photo of a armadillo.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/139.jpeg,a photo of a spider web.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/140.jpeg,a photo of a milk can.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/141.jpeg,a photo of a hatchet.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/142.jpeg,"a photo of a waffles, a type of food."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/143.jpeg,"a photo of a Acura Integra Type R 2001, a type of car."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/144.jpeg,"a photo of a Spyker C8 Coupe 2009, a type of car."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/145.jpeg,a photo of a Christmas stocking.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/146.jpeg,a photo of a graduation cap.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/147.jpeg,a photo of a sneaker.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/148.jpeg,a photo of a golf ball.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/149.jpeg,a photo of a soap dispenser.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/150.jpeg,a photo of a punching bag.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/151.jpeg,a photo of a Bouvier des Flandres dog.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/152.jpeg,"a photo of a Land Rover LR2 SUV 2012, a type of car."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/153.jpeg,a photo of a analog clock.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/154.jpeg,"a photo of a cheese plate, a type of food."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/155.jpeg,"a photo of a GMC Terrain SUV 2012, a type of car."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/156.jpeg,a photo of a gibbon.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/157.jpeg,"a photo of a Honda Odyssey Minivan 2007, a type of car."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/158.jpeg,a photo of a smooth green snake.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/159.jpeg,a photo of a bell pepper.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/160.jpeg,a photo of a baseball.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/161.jpeg,a photo of a washing machine.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/162.jpeg,a photo of a hatchet.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/163.jpeg,a photo of a common redshank.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/164.jpeg,a photo of a sunglasses.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/165.jpeg,"a photo of a Audi S4 Sedan 2012, a type of car."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/166.jpeg,a photo of a Egyptian Mau.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/167.jpeg,"a photo of the number: ""0 - zero""."
./data/synthetic/synthetic_data_b/OxfordPet_Syn/168.jpeg,a photo of a laptop computer.
./data/synthetic/synthetic_data_b/OxfordPet_Syn/169.jpeg,a photo of a china cabinet.
