image,text
./data/synthetic/synthetic_data_b/EuroSAT_Syn/0.jpeg,a photo of a Scottish Terrier.
./data/synthetic/synthetic_data_b/EuroSAT_Syn/1.jpeg,"a photo of a Toyota Corolla Sedan 2012, a type of car."
./data/synthetic/synthetic_data_b/EuroSAT_Syn/2.jpeg,"a photo of a Volvo XC90 SUV 2007, a type of car."
./data/synthetic/synthetic_data_b/EuroSAT_Syn/3.jpeg,a photo of a cockroach.
./data/synthetic/synthetic_data_b/EuroSAT_Syn/4.jpeg,a photo of a shower cap.
./data/synthetic/synthetic_data_b/EuroSAT_Syn/5.jpeg,a photo of a quilt.
./data/synthetic/synthetic_data_b/EuroSAT_Syn/6.jpeg,a photo of a red panda.
./data/synthetic/synthetic_data_b/EuroSAT_Syn/7.jpeg,a photo of a ocarina.
./data/synthetic/synthetic_data_b/EuroSAT_Syn/8.jpeg,"a photo of a German Shorthaired, a type of pet."
./data/synthetic/synthetic_data_b/EuroSAT_Syn/9.jpeg,"a photo of a tuna tartare, a type of food."
./data/synthetic/synthetic_data_b/EuroSAT_Syn/10.jpeg,"a photo of a filet mignon, a type of food."
./data/synthetic/synthetic_data_b/EuroSAT_Syn/11.jpeg,"a photo of a Ford GT Coupe 2006, a type of car."
./data/synthetic/synthetic_data_b/EuroSAT_Syn/12.jpeg,a photo of a basement.
./data/synthetic/synthetic_data_b/EuroSAT_Syn/13.jpeg,a photo of a rock beauty fish.
./data/synthetic/synthetic_data_b/EuroSAT_Syn/14.jpeg,"a photo of a mallow, a type of flower."
./data/synthetic/synthetic_data_b/EuroSAT_Syn/15.jpeg,a photo of a hamper.
./data/synthetic/synthetic_data_b/EuroSAT_Syn/16.jpeg,a photo of a worm snake.
./data/synthetic/synthetic_data_b/EuroSAT_Syn/17.jpeg,a photo of a football helmet.
./data/synthetic/synthetic_data_b/EuroSAT_Syn/18.jpeg,"a photo of a Lamborghini Diablo Coupe 2001, a type of car."
./data/synthetic/synthetic_data_b/EuroSAT_Syn/19.jpeg,a photo of a casino/indoor.
./data/synthetic/synthetic_data_b/EuroSAT_Syn/20.jpeg,a photo of a garfield.
./data/synthetic/synthetic_data_b/EuroSAT_Syn/21.jpeg,a photo of a mosque/indoor.
./data/synthetic/synthetic_data_b/EuroSAT_Syn/22.jpeg,"a photo of a common dandelion, a type of flower."
./data/synthetic/synthetic_data_b/EuroSAT_Syn/23.jpeg,a photo of a graduation cap.
./data/synthetic/synthetic_data_b/EuroSAT_Syn/24.jpeg,a photo of a Band-Aid.
./data/synthetic/synthetic_data_b/EuroSAT_Syn/25.jpeg,a photo of a wall clock.
./data/synthetic/synthetic_data_b/EuroSAT_Syn/26.jpeg,a photo of a loupe magnifying glass.
./data/synthetic/synthetic_data_b/EuroSAT_Syn/27.jpeg,a photo of a grooved texture.
./data/synthetic/synthetic_data_b/EuroSAT_Syn/28.jpeg,a photo of a window shade.
./data/synthetic/synthetic_data_b/EuroSAT_Syn/29.jpeg,a photo of a safe.
./data/synthetic/synthetic_data_b/EuroSAT_Syn/30.jpeg,a photo of a high-speed train.
./data/synthetic/synthetic_data_b/EuroSAT_Syn/31.jpeg,a photo of a palace.
./data/synthetic/synthetic_data_b/EuroSAT_Syn/32.jpeg,"a photo of a C-47, a type of aircraft."
./data/synthetic/synthetic_data_b/EuroSAT_Syn/33.jpeg,a photo of a cricket insect.
./data/synthetic/synthetic_data_b/EuroSAT_Syn/34.jpeg,a photo of a tool kit.
./data/synthetic/synthetic_data_b/EuroSAT_Syn/35.jpeg,a photo of a dog sled.
./data/synthetic/synthetic_data_b/EuroSAT_Syn/36.jpeg,a photo of a scorpion.
./data/synthetic/synthetic_data_b/EuroSAT_Syn/37.jpeg,a photo of a cellphone.
