image,text
./data/synthetic/synthetic_data_b/CIFAR100_Syn/0.jpeg,"a photo of a 747-400, a type of aircraft."
./data/synthetic/synthetic_data_b/CIFAR100_Syn/1.jpeg,"a photo of a bolero deep blue, a type of flower."
./data/synthetic/synthetic_data_b/CIFAR100_Syn/2.jpeg,a photo of a espresso.
./data/synthetic/synthetic_data_b/CIFAR100_Syn/3.jpeg,a photo of a pomegranate.
./data/synthetic/synthetic_data_b/CIFAR100_Syn/4.jpeg,"a photo of a hippeastrum, a type of flower."
./data/synthetic/synthetic_data_b/CIFAR100_Syn/5.jpeg,"a photo of a cup cakes, a type of food."
./data/synthetic/synthetic_data_b/CIFAR100_Syn/6.jpeg,"a photo of a Mercedes-Benz Sprinter Van 2012, a type of car."
./data/synthetic/synthetic_data_b/CIFAR100_Syn/7.jpeg,a photo of a go-kart.
./data/synthetic/synthetic_data_b/CIFAR100_Syn/8.jpeg,a photo of a closet.
./data/synthetic/synthetic_data_b/CIFAR100_Syn/9.jpeg,"a photo of a Audi R8 Coupe 2012, a type of car."
./data/synthetic/synthetic_data_b/CIFAR100_Syn/10.jpeg,a photo of a bassinet.
./data/synthetic/synthetic_data_b/CIFAR100_Syn/11.jpeg,"a photo of a Wheaten Terrier, a type of pet."
./data/synthetic/synthetic_data_b/CIFAR100_Syn/12.jpeg,a photo of a shoe store.
./data/synthetic/synthetic_data_b/CIFAR100_Syn/13.jpeg,a photo of a banquet hall.
./data/synthetic/synthetic_data_b/CIFAR100_Syn/14.jpeg,"a photo of a 767-300, a type of aircraft."
./data/synthetic/synthetic_data_b/CIFAR100_Syn/15.jpeg,a photo of a accordion.
./data/synthetic/synthetic_data_b/CIFAR100_Syn/16.jpeg,a photo of a hook.
./data/synthetic/synthetic_data_b/CIFAR100_Syn/17.jpeg,a photo of a reception.
./data/synthetic/synthetic_data_b/CIFAR100_Syn/18.jpeg,a photo of a mosque/indoor.
./data/synthetic/synthetic_data_b/CIFAR100_Syn/19.jpeg,a photo of a fox squirrel.
./data/synthetic/synthetic_data_b/CIFAR100_Syn/20.jpeg,a photo of a marmoset.
./data/synthetic/synthetic_data_b/CIFAR100_Syn/21.jpeg,a photo of a pug.
./data/synthetic/synthetic_data_b/CIFAR100_Syn/22.jpeg,a photo of a raft.
./data/synthetic/synthetic_data_b/CIFAR100_Syn/23.jpeg,a photo of a dining table.
./data/synthetic/synthetic_data_b/CIFAR100_Syn/24.jpeg,a photo of a ant.
