image,text
./data/synthetic/synthetic_data_b/DTD_Syn/0.jpeg,a photo of a lock chamber.
./data/synthetic/synthetic_data_b/DTD_Syn/1.jpeg,a photo of a field/cultivated.
./data/synthetic/synthetic_data_b/DTD_Syn/2.jpeg,a photo of a corn.
./data/synthetic/synthetic_data_b/DTD_Syn/3.jpeg,a photo of a husky.
./data/synthetic/synthetic_data_b/DTD_Syn/4.jpeg,"a photo of a Mercedes-Benz C-Class Sedan 2012, a type of car."
./data/synthetic/synthetic_data_b/DTD_Syn/5.jpeg,"a photo of a Dodge Charger SRT-8 2009, a type of car."
./data/synthetic/synthetic_data_b/DTD_Syn/6.jpeg,"a photo of a Eurofighter Typhoon, a type of aircraft."
./data/synthetic/synthetic_data_b/DTD_Syn/7.jpeg,a photo of a stegosaurus.
./data/synthetic/synthetic_data_b/DTD_Syn/8.jpeg,a photo of a poncho.
./data/synthetic/synthetic_data_b/DTD_Syn/9.jpeg,a photo of a obelisk.
./data/synthetic/synthetic_data_b/DTD_Syn/10.jpeg,"a photo of a primula, a type of flower."
./data/synthetic/synthetic_data_b/DTD_Syn/11.jpeg,a photo of a laptop computer.
./data/synthetic/synthetic_data_b/DTD_Syn/12.jpeg,a photo of a steam locomotive.
./data/synthetic/synthetic_data_b/DTD_Syn/13.jpeg,a photo of a snail.
./data/synthetic/synthetic_data_b/DTD_Syn/14.jpeg,"a photo of a tiramisu, a type of food."
./data/synthetic/synthetic_data_b/DTD_Syn/15.jpeg,a photo of a windsor chair.
./data/synthetic/synthetic_data_b/DTD_Syn/16.jpeg,a photo of a ceiling fan.
./data/synthetic/synthetic_data_b/DTD_Syn/17.jpeg,"a photo of a Keeshond, a type of pet."
./data/synthetic/synthetic_data_b/DTD_Syn/18.jpeg,a photo of a Norfolk Terrier.
./data/synthetic/synthetic_data_b/DTD_Syn/19.jpeg,a photo of a purse.
./data/synthetic/synthetic_data_b/DTD_Syn/20.jpeg,"a photo of a Dodge Durango SUV 2007, a type of car."
./data/synthetic/synthetic_data_b/DTD_Syn/21.jpeg,a photo of a restaurant kitchen.
./data/synthetic/synthetic_data_b/DTD_Syn/22.jpeg,a photo of a body of a cougar cat.
./data/synthetic/synthetic_data_b/DTD_Syn/23.jpeg,a photo of a paintbrush.
./data/synthetic/synthetic_data_b/DTD_Syn/24.jpeg,a photo of a Bluetick Coonhound.
./data/synthetic/synthetic_data_b/DTD_Syn/25.jpeg,a photo of a picnic area.
./data/synthetic/synthetic_data_b/DTD_Syn/26.jpeg,a photo of a acorn squash.
./data/synthetic/synthetic_data_b/DTD_Syn/27.jpeg,a photo of a corn field.
./data/synthetic/synthetic_data_b/DTD_Syn/28.jpeg,a photo of a dam.
./data/synthetic/synthetic_data_b/DTD_Syn/29.jpeg,a photo of a harmonica.
./data/synthetic/synthetic_data_b/DTD_Syn/30.jpeg,"a photo of a Leonberger, a type of pet."
./data/synthetic/synthetic_data_b/DTD_Syn/31.jpeg,a photo of a bakery.
./data/synthetic/synthetic_data_b/DTD_Syn/32.jpeg,a photo of a skunk.
./data/synthetic/synthetic_data_b/DTD_Syn/33.jpeg,"a photo of a Hyundai Accent Sedan 2012, a type of car."
./data/synthetic/synthetic_data_b/DTD_Syn/34.jpeg,a photo of a black grouse.
./data/synthetic/synthetic_data_b/DTD_Syn/35.jpeg,a photo of a euphonium.
./data/synthetic/synthetic_data_b/DTD_Syn/36.jpeg,a photo of a sewing machine.
./data/synthetic/synthetic_data_b/DTD_Syn/37.jpeg,"a photo of a globe thistle, a type of flower."
./data/synthetic/synthetic_data_b/DTD_Syn/38.jpeg,a photo of a silver salmon.
./data/synthetic/synthetic_data_b/DTD_Syn/39.jpeg,a photo of a rickshaw.
./data/synthetic/synthetic_data_b/DTD_Syn/40.jpeg,"a photo of a clematis, a type of flower."
./data/synthetic/synthetic_data_b/DTD_Syn/41.jpeg,a photo of a slide rule.
./data/synthetic/synthetic_data_b/DTD_Syn/42.jpeg,a photo of a wheat field.
./data/synthetic/synthetic_data_b/DTD_Syn/43.jpeg,a photo of a Welsh Springer Spaniel.
./data/synthetic/synthetic_data_b/DTD_Syn/44.jpeg,"a photo of a sushi, a type of food."
./data/synthetic/synthetic_data_b/DTD_Syn/45.jpeg,"a photo of a spring crocus, a type of flower."
./data/synthetic/synthetic_data_b/DTD_Syn/46.jpeg,a photo of a poncho.
./data/synthetic/synthetic_data_b/DTD_Syn/47.jpeg,a photo of a hen of the woods mushroom.
./data/synthetic/synthetic_data_b/DTD_Syn/48.jpeg,a photo of a Ibizan Hound.
./data/synthetic/synthetic_data_b/DTD_Syn/49.jpeg,a photo of a underwater/coral reef.
./data/synthetic/synthetic_data_b/DTD_Syn/50.jpeg,"a photo of a tuna tartare, a type of food."
./data/synthetic/synthetic_data_b/DTD_Syn/51.jpeg,a photo of a sink.
./data/synthetic/synthetic_data_b/DTD_Syn/52.jpeg,a photo of a bow window/outdoor.
./data/synthetic/synthetic_data_b/DTD_Syn/53.jpeg,a photo of a giant panda.
./data/synthetic/synthetic_data_b/DTD_Syn/54.jpeg,a photo of a cougar.
./data/synthetic/synthetic_data_b/DTD_Syn/55.jpeg,a photo of a barn spider.
./data/synthetic/synthetic_data_b/DTD_Syn/56.jpeg,a photo of a gar fish.
./data/synthetic/synthetic_data_b/DTD_Syn/57.jpeg,a photo of a triceratops.
./data/synthetic/synthetic_data_b/DTD_Syn/58.jpeg,a photo of a balcony/exterior.
./data/synthetic/synthetic_data_b/DTD_Syn/59.jpeg,a photo of a wild cat.
./data/synthetic/synthetic_data_b/DTD_Syn/60.jpeg,"a photo of a chicken curry, a type of food."
./data/synthetic/synthetic_data_b/DTD_Syn/61.jpeg,a photo of a chain.
./data/synthetic/synthetic_data_b/DTD_Syn/62.jpeg,"a photo of a Acura RL Sedan 2012, a type of car."
./data/synthetic/synthetic_data_b/DTD_Syn/63.jpeg,a photo of a balaclava ski mask.
./data/synthetic/synthetic_data_b/DTD_Syn/64.jpeg,a photo of a spoonbill.
./data/synthetic/synthetic_data_b/DTD_Syn/65.jpeg,a photo of a gymnasium/indoor.
./data/synthetic/synthetic_data_b/DTD_Syn/66.jpeg,"a photo of a Ford Freestar Minivan 2007, a type of car."
./data/synthetic/synthetic_data_b/DTD_Syn/67.jpeg,"a photo of a Chihuahua, a type of pet."
./data/synthetic/synthetic_data_b/DTD_Syn/68.jpeg,a photo of a slip-on shoe.
./data/synthetic/synthetic_data_b/DTD_Syn/69.jpeg,"a photo of a Audi S4 Sedan 2007, a type of car."
./data/synthetic/synthetic_data_b/DTD_Syn/70.jpeg,"a photo of a Dodge Durango SUV 2012, a type of car."
./data/synthetic/synthetic_data_b/DTD_Syn/71.jpeg,a photo of a dolphin.
./data/synthetic/synthetic_data_b/DTD_Syn/72.jpeg,a photo of a pagoda.
./data/synthetic/synthetic_data_b/DTD_Syn/73.jpeg,a photo of a lake/natural.
./data/synthetic/synthetic_data_b/DTD_Syn/74.jpeg,a photo of a traffic light.
./data/synthetic/synthetic_data_b/DTD_Syn/75.jpeg,a photo of a elephant.
./data/synthetic/synthetic_data_b/DTD_Syn/76.jpeg,a photo of a wheelchair.
./data/synthetic/synthetic_data_b/DTD_Syn/77.jpeg,a photo of a loggerhead sea turtle.
./data/synthetic/synthetic_data_b/DTD_Syn/78.jpeg,a photo of a southern black widow.
./data/synthetic/synthetic_data_b/DTD_Syn/79.jpeg,a photo of a paddle wheel.
./data/synthetic/synthetic_data_b/DTD_Syn/80.jpeg,a photo of a slug.
./data/synthetic/synthetic_data_b/DTD_Syn/81.jpeg,a photo of a oxygen mask.
./data/synthetic/synthetic_data_b/DTD_Syn/82.jpeg,a photo of a garage/indoor.
./data/synthetic/synthetic_data_b/DTD_Syn/83.jpeg,a photo of a ball pit.
./data/synthetic/synthetic_data_b/DTD_Syn/84.jpeg,a photo of a african grey parrot.
./data/synthetic/synthetic_data_b/DTD_Syn/85.jpeg,a photo of a stretcher.
./data/synthetic/synthetic_data_b/DTD_Syn/86.jpeg,a photo of a Boxer.
./data/synthetic/synthetic_data_b/DTD_Syn/87.jpeg,a photo of a swimming cap.
./data/synthetic/synthetic_data_b/DTD_Syn/88.jpeg,a photo of a jail/indoor.
./data/synthetic/synthetic_data_b/DTD_Syn/89.jpeg,"a photo of a Siamese, a type of pet."
./data/synthetic/synthetic_data_b/DTD_Syn/90.jpeg,"a photo of a fritillary, a type of flower."
./data/synthetic/synthetic_data_b/DTD_Syn/91.jpeg,"a photo of a Chevrolet Monte Carlo Coupe 2007, a type of car."
./data/synthetic/synthetic_data_b/DTD_Syn/92.jpeg,a photo of a cauliflower.
