image,text
./data/synthetic/synthetic_data_a/CIFAR100_Syn/0.jpeg,a photo of a earth star fungus.
./data/synthetic/synthetic_data_a/CIFAR100_Syn/1.jpeg,a photo of a shield.
./data/synthetic/synthetic_data_a/CIFAR100_Syn/2.jpeg,a photo of a birdhouse.
./data/synthetic/synthetic_data_a/CIFAR100_Syn/3.jpeg,a photo of a head of a  crocodile.
./data/synthetic/synthetic_data_a/CIFAR100_Syn/4.jpeg,"a photo of a C-47, a type of aircraft."
./data/synthetic/synthetic_data_a/CIFAR100_Syn/5.jpeg,a photo of a polar bear.
./data/synthetic/synthetic_data_a/CIFAR100_Syn/6.jpeg,a photo of a Groenendael dog.
./data/synthetic/synthetic_data_a/CIFAR100_Syn/7.jpeg,a photo of a entertainment center.
./data/synthetic/synthetic_data_a/CIFAR100_Syn/8.jpeg,a photo of a reflex camera.
./data/synthetic/synthetic_data_a/CIFAR100_Syn/9.jpeg,"a photo of a ERJ 145, a type of aircraft."
./data/synthetic/synthetic_data_a/CIFAR100_Syn/10.jpeg,a photo of a Crock Pot.
./data/synthetic/synthetic_data_a/CIFAR100_Syn/11.jpeg,a photo of a Soft-coated Wheaten Terrier.
./data/synthetic/synthetic_data_a/CIFAR100_Syn/12.jpeg,a photo of a fire screen.
./data/synthetic/synthetic_data_a/CIFAR100_Syn/13.jpeg,"a photo of a DH-82, a type of aircraft."
./data/synthetic/synthetic_data_a/CIFAR100_Syn/14.jpeg,a photo of a magnetic compass.
./data/synthetic/synthetic_data_a/CIFAR100_Syn/15.jpeg,a photo of a stopwatch.
./data/synthetic/synthetic_data_a/CIFAR100_Syn/16.jpeg,a photo of a desert grassland whiptail lizard.
./data/synthetic/synthetic_data_a/CIFAR100_Syn/17.jpeg,a photo of a black stork.
./data/synthetic/synthetic_data_a/CIFAR100_Syn/18.jpeg,a photo of a mandolin.
./data/synthetic/synthetic_data_a/CIFAR100_Syn/19.jpeg,a photo of a Cocker Spaniel.
./data/synthetic/synthetic_data_a/CIFAR100_Syn/20.jpeg,a photo of a bell or wind chime.
./data/synthetic/synthetic_data_a/CIFAR100_Syn/21.jpeg,a photo of a grand piano.
./data/synthetic/synthetic_data_a/CIFAR100_Syn/22.jpeg,a photo of a cradle.
./data/synthetic/synthetic_data_a/CIFAR100_Syn/23.jpeg,a photo of a cliff dwelling.
./data/synthetic/synthetic_data_a/CIFAR100_Syn/24.jpeg,a photo of a euphonium.
./data/synthetic/synthetic_data_a/CIFAR100_Syn/25.jpeg,a photo of a rhino.
./data/synthetic/synthetic_data_a/CIFAR100_Syn/26.jpeg,"a photo of a MD-11, a type of aircraft."
./data/synthetic/synthetic_data_a/CIFAR100_Syn/27.jpeg,a photo of a langur.
./data/synthetic/synthetic_data_a/CIFAR100_Syn/28.jpeg,"a photo of a 767-300, a type of aircraft."
./data/synthetic/synthetic_data_a/CIFAR100_Syn/29.jpeg,"a photo of a Hawk T1, a type of aircraft."
./data/synthetic/synthetic_data_a/CIFAR100_Syn/30.jpeg,a photo of a stingray.
./data/synthetic/synthetic_data_a/CIFAR100_Syn/31.jpeg,a photo of a dung beetle.
./data/synthetic/synthetic_data_a/CIFAR100_Syn/32.jpeg,a photo of a Carolina anole.
./data/synthetic/synthetic_data_a/CIFAR100_Syn/33.jpeg,a photo of a vespa.
./data/synthetic/synthetic_data_a/CIFAR100_Syn/34.jpeg,a photo of a dragonfly.
